modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,4,18,0.5,1.0,0.0022931057838841,0.2,80
gene,4,18,0.6,1.0,0.0124649781843322,0.55,80
gene,4,18,0.68,1.0,0.0301998257836191,0.85,80
gene,4,18,0.75,1.0,0.0795277315342457,1.0,80
gene,4,18,0.82,1.0,0.0906436060463911,1.0,80
gene,4,18,0.88,1.0,0.1572910830900189,1.0,80
gene,4,18,0.93,1.0,0.1311528450483909,1.0,80
gene,4,18,0.97,1.0,0.2279668939685399,1.0,80
gene,4,18,1.0,1.0,0.2491104546921796,1.0,80
gene,4,18,1.0,1.3,0.3710559773157426,1.0,80
gene,4,18,1.0,1.7,0.3962742262301322,1.0,80
gene,4,19,0.5,1.0,0.0020575767684272,0.275,80
gene,4,19,0.6,1.0,0.0153885226127966,0.7,80
gene,4,19,0.68,1.0,0.0802781317732306,1.0,80
gene,4,19,0.75,1.0,0.0809978232823734,1.0,80
gene,4,19,0.82,1.0,0.1355079957236242,1.0,80
gene,4,19,0.88,1.0,0.2100328552283883,1.0,80
gene,4,19,0.93,1.0,0.27410710569455,1.0,80
gene,4,19,0.97,1.0,0.3383831764854732,1.0,80
gene,4,19,1.0,1.0,0.3217866439481159,1.0,80
gene,4,19,1.0,1.3,0.3381512274893753,1.0,80
gene,4,19,1.0,1.7,0.3584719960147693,1.0,80
gene,7,0,0.5,1.0,0.0,0.1,80
gene,7,0,0.6,1.0,0.0157598256708775,0.625,80
gene,7,0,0.68,1.0,0.0593373998596618,1.0,80
gene,7,0,0.75,1.0,0.0514071576366907,1.0,80
gene,7,0,0.82,1.0,0.0900454242030508,1.0,80
gene,7,0,0.88,1.0,0.2405862155122851,1.0,80
gene,7,0,0.93,1.0,0.2129388924996473,1.0,80
gene,7,0,0.97,1.0,0.2840314343897325,1.0,80
gene,7,0,1.0,1.0,0.3648337563366062,1.0,80
gene,7,0,1.0,1.3,0.3845055587990476,1.0,80
gene,7,0,1.0,1.7,0.4031327911711111,1.0,80
gene,7,1,0.5,1.0,0.0,0.05,80
gene,7,1,0.6,1.0,0.015580086683726,0.675,80
gene,7,1,0.68,1.0,0.0650387561864115,1.0,80
gene,7,1,0.75,1.0,0.0624861405991746,1.0,80
gene,7,1,0.82,1.0,0.0928088381058074,1.0,80
gene,7,1,0.88,1.0,0.2900609223131694,1.0,80
gene,7,1,0.93,1.0,0.2765536794094282,1.0,80
gene,7,1,0.97,1.0,0.32657818568824,1.0,80
