workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index,strength,mode,failed_bootstraps
protein,10,real,17,strength=0.518,0.0545988555640369,0.86,180,13,0.5179,labeled_bootstrap,0.0
protein,10,real,17,strength=0.679,0.0924129707199537,0.95,180,14,0.6786,labeled_bootstrap,0.0
protein,10,real,17,strength=0.839,0.1530117219682447,1.0,180,15,0.8393,labeled_bootstrap,0.0
protein,10,real,17,strength=1,0.2550267164808076,1.0,180,16,1.0,labeled_bootstrap,0.0
protein,10,real,80,strength=0,0.0,0.09,180,0,0.0,exchangeable_null,0.0
protein,10,real,80,strength=0.103,0.0037163166506011,0.49,180,1,0.1028,labeled_bootstrap,0.0
protein,10,real,80,strength=0.154,0.0047208486275782,0.54,180,2,0.1538,labeled_bootstrap,0.0
protein,10,real,80,strength=0.183,0.0046196149851113,0.58,180,3,0.1833,labeled_bootstrap,0.0
protein,10,real,80,strength=0.213,0.0075407181324593,0.75,180,4,0.2129,labeled_bootstrap,0.0
protein,10,real,80,strength=0.287,0.0141709757954886,0.88,180,5,0.2868,labeled_bootstrap,0.0
protein,10,real,80,strength=0.298,0.0186354374009418,0.96,180,6,0.2985,labeled_bootstrap,0.0
protein,10,real,80,strength=0.31,0.017973486460226,0.98,180,7,0.3102,labeled_bootstrap,0.0
protein,10,real,80,strength=0.322,0.0192676349899452,0.97,180,8,0.322,labeled_bootstrap,0.0
protein,10,real,80,strength=0.334,0.0269333286474974,0.99,180,9,0.3337,labeled_bootstrap,0.0
protein,10,real,80,strength=0.345,0.0262072328333039,1.0,180,10,0.3454,labeled_bootstrap,0.0
protein,10,real,80,strength=0.357,0.0404525269275612,1.0,180,11,0.3571,labeled_bootstrap,0.0
protein,10,real,80,strength=0.372,0.0277687102915779,0.99,180,12,0.3716,labeled_bootstrap,0.0
protein,10,real,80,strength=0.518,0.0545988555640369,1.0,180,13,0.5179,labeled_bootstrap,0.0
protein,10,real,80,strength=0.679,0.0924129707199537,1.0,180,14,0.6786,labeled_bootstrap,0.0
protein,10,real,80,strength=0.839,0.1530117219682447,1.0,180,15,0.8393,labeled_bootstrap,0.0
protein,10,real,80,strength=1,0.2550267164808076,1.0,180,16,1.0,labeled_bootstrap,0.0
protein,17,real,17,strength=0,0.0,0.08,180,0,0.0,exchangeable_null,0.0
protein,17,real,17,strength=0.101,0.0,0.04,180,1,0.1014,labeled_bootstrap,0.0
protein,17,real,17,strength=0.223,0.0128859653973091,0.28,180,2,0.2229,labeled_bootstrap,0.0
protein,17,real,17,strength=0.242,0.0111880765671669,0.22,180,3,0.2422,labeled_bootstrap,0.0
protein,17,real,17,strength=0.262,0.0169465305804174,0.3,180,4,0.2615,labeled_bootstrap,0.0
protein,17,real,17,strength=0.281,0.0183255261946874,0.33,180,5,0.2808,labeled_bootstrap,0.0
protein,17,real,17,strength=0.304,0.0160047307556496,0.29,180,6,0.3042,labeled_bootstrap,0.0
protein,17,real,17,strength=0.326,0.0267599735711273,0.48,180,7,0.3257,labeled_bootstrap,0.0
protein,17,real,17,strength=0.329,0.0153843296265158,0.26,180,8,0.3291,labeled_bootstrap,0.0
