workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index
gene,7,real,70,"pi=0.925,scale=1.23",0.32697604589014245,1.0,180,9
gene,7,real,70,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,70,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,70,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
gene,7,real,80,"pi=0.5,scale=1",0.0,0.06,180,0
gene,7,real,80,"pi=0.656,scale=1",0.03538862714133928,0.88,180,1
gene,7,real,80,"pi=0.7,scale=1",0.06460978566417215,0.98,180,2
gene,7,real,80,"pi=0.688,scale=1",0.08640283304828061,1.0,180,3
gene,7,real,80,"pi=0.75,scale=1",0.12052604990777044,1.0,180,4
gene,7,real,80,"pi=0.7,scale=1.47",0.15438536924214075,1.0,180,5
gene,7,real,80,"pi=0.844,scale=1",0.2045443773031634,1.0,180,6
gene,7,real,80,"pi=0.875,scale=1",0.24168243842593853,1.0,180,7
gene,7,real,80,"pi=0.775,scale=1.7",0.2872998271270415,1.0,180,8
gene,7,real,80,"pi=0.925,scale=1.23",0.32697604589014245,1.0,180,9
gene,7,real,80,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,80,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,80,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
gene,10,real,10,"pi=0.5,scale=1",0.004809989164921865,0.07,180,0
gene,10,real,10,"pi=0.625,scale=1",0.026975109791931715,0.14,180,1
gene,10,real,10,"pi=0.688,scale=1",0.06569442591391127,0.25,180,2
gene,10,real,10,"pi=0.719,scale=1",0.09686322961624884,0.46,180,3
gene,10,real,10,"pi=0.775,scale=1",0.14367006903767812,0.66,180,4
gene,10,real,10,"pi=0.812,scale=1",0.17188972194635033,0.76,180,5
gene,10,real,10,"pi=0.844,scale=1",0.20356226868334287,0.75,180,6
gene,10,real,10,"pi=0.85,scale=1.23",0.23651952893499742,0.77,180,7
gene,10,real,10,"pi=0.925,scale=1",0.287910751908449,0.97,180,8
gene,10,real,10,"pi=0.925,scale=1.23",0.3158993608406792,0.98,180,9
gene,10,real,10,"pi=0.969,scale=1",0.3804074719703158,1.0,180,10
gene,10,real,10,"pi=1,scale=1",0.41529350498235323,1.0,180,11
gene,10,real,10,"pi=1,scale=1.7",0.45628871190519554,1.0,180,12
gene,10,real,20,"pi=0.5,scale=1",0.004809989164921865,0.05,180,0
gene,10,real,20,"pi=0.625,scale=1",0.026975109791931715,0.28,180,1
gene,10,real,20,"pi=0.688,scale=1",0.06569442591391127,0.62,180,2
gene,10,real,20,"pi=0.719,scale=1",0.09686322961624884,0.72,180,3
gene,10,real,20,"pi=0.775,scale=1",0.14367006903767812,0.8,180,4
gene,10,real,20,"pi=0.812,scale=1",0.17188972194635033,0.95,180,5
gene,10,real,20,"pi=0.844,scale=1",0.20356226868334287,0.96,180,6
gene,10,real,20,"pi=0.85,scale=1.23",0.23651952893499742,1.0,180,7
gene,10,real,20,"pi=0.925,scale=1",0.287910751908449,1.0,180,8
gene,10,real,20,"pi=0.925,scale=1.23",0.3158993608406792,1.0,180,9
gene,10,real,20,"pi=0.969,scale=1",0.3804074719703158,1.0,180,10
gene,10,real,20,"pi=1,scale=1",0.41529350498235323,1.0,180,11
gene,10,real,20,"pi=1,scale=1.7",0.45628871190519554,1.0,180,12
gene,10,real,30,"pi=0.5,scale=1",0.004809989164921865,0.11,180,0
gene,10,real,30,"pi=0.625,scale=1",0.026975109791931715,0.39,180,1
gene,10,real,30,"pi=0.688,scale=1",0.06569442591391127,0.79,180,2
gene,10,real,30,"pi=0.719,scale=1",0.09686322961624884,0.88,180,3
gene,10,real,30,"pi=0.775,scale=1",0.14367006903767812,0.99,180,4
gene,10,real,30,"pi=0.812,scale=1",0.17188972194635033,0.99,180,5
gene,10,real,30,"pi=0.844,scale=1",0.20356226868334287,1.0,180,6
gene,10,real,30,"pi=0.85,scale=1.23",0.23651952893499742,1.0,180,7
gene,10,real,30,"pi=0.925,scale=1",0.287910751908449,1.0,180,8
gene,10,real,30,"pi=0.925,scale=1.23",0.3158993608406792,1.0,180,9
gene,10,real,30,"pi=0.969,scale=1",0.3804074719703158,1.0,180,10
gene,10,real,30,"pi=1,scale=1",0.41529350498235323,1.0,180,11
gene,10,real,30,"pi=1,scale=1.7",0.45628871190519554,1.0,180,12
gene,10,real,40,"pi=0.5,scale=1",0.004809989164921865,0.11,180,0
