modality,split,metric,value
protein,57,omega2,0.24434328733780897
protein,57,deff,0.1087641357067643
protein,57,tf_topology,0.19298245614035087
protein,57,source_r2,0.01480267388701662
protein,58,abundance,0.10719558379870342
protein,58,prevalence,0.2991848000513512
protein,58,distance,0.2676767676767677
protein,58,dispersion,0.2832080200501253
protein,58,omega2,0.9723128122178142
protein,58,deff,0.23159435974350995
protein,58,tf_topology,0.4432516519497312
protein,58,source_r2,0.02747916171931585
protein,59,abundance,0.15289813210090508
protein,59,prevalence,0.3236407985108158
protein,59,distance,0.26666666666666666
protein,59,dispersion,0.40852130325814534
protein,59,omega2,1.1901368996366606
protein,59,deff,0.345443307251009
protein,59,tf_topology,0.4568106308437346
protein,59,source_r2,0.016944863690086954
protein,60,abundance,0.053918736761024544
protein,60,prevalence,0.22459721419860068
protein,60,distance,0.1898989898989899
protein,60,dispersion,0.3082706766917293
protein,60,omega2,0.5354025765187195
protein,60,deff,0.21189550615519362
protein,60,tf_topology,0.19298245614035087
protein,60,source_r2,0.013060177902501934
protein,61,abundance,0.05815520893510495
protein,61,prevalence,0.2229924898902369
protein,61,distance,0.34444444444444444
protein,61,dispersion,0.3659147869674185
protein,61,omega2,1.2639461530842595
protein,61,deff,0.282268874446756
protein,61,tf_topology,0.24561403508771928
protein,61,source_r2,0.03285097715644767
protein,62,abundance,0.058668720713781375
protein,62,prevalence,0.1859554528531998
protein,62,distance,0.4454320987654321
protein,62,dispersion,0.2982456140350877
protein,62,omega2,0.27494480824289724
protein,62,deff,0.6407759456615056
protein,62,tf_topology,0.39487407295815574
protein,62,source_r2,0.025213320746677384
protein,63,abundance,0.09307400988510184
protein,63,prevalence,0.15501636818794529
protein,63,distance,0.2585858585858586
protein,63,dispersion,0.46115288220551376
protein,63,omega2,1.2235221160458039
protein,63,deff,0.27949952484312973
protein,63,tf_topology,0.28267492369007813
protein,63,source_r2,0.015649624129474866
protein,64,abundance,0.09654021439116767
protein,64,prevalence,0.12343539379934532
protein,64,distance,0.1606060606060606
protein,64,dispersion,0.17794486215538846
protein,64,omega2,0.0762869655318564
protein,64,deff,0.15810383659034394
protein,64,tf_topology,0.24710771533919718
protein,64,source_r2,0.013989848367666804
protein,65,abundance,0.03479042300532764
protein,65,prevalence,0.19076962577829126
protein,65,distance,0.22828282828282828
protein,65,dispersion,0.14035087719298245
protein,65,omega2,0.6861844619960437
protein,65,deff,0.24295876121968532
protein,65,tf_topology,0.15037593984962405
protein,65,source_r2,0.013684144510198603
protein,66,abundance,0.1300468579498043
protein,66,prevalence,0.11964824443160671
protein,66,distance,0.46464646464646464
protein,66,dispersion,0.38847117794486213
protein,66,omega2,1.5158129092540367
protein,66,deff,0.24578708436021965
protein,66,tf_topology,0.39911281575340496
protein,66,source_r2,0.021623154531292932
protein,67,abundance,0.14943192759483925
protein,67,prevalence,0.13531035368123762
protein,67,distance,0.26493827160493827
protein,67,dispersion,0.2506265664160401
protein,67,omega2,0.4794644643580906
protein,67,deff,0.011264835821932167
protein,67,tf_topology,0.4184360169815278
protein,67,source_r2,0.015083115503209923
protein,68,abundance,0.1096347647474164
protein,68,prevalence,0.14436099878040953
protein,68,distance,0.15454545454545454
protein,68,dispersion,0.18796992481203006
protein,68,omega2,0.0399765769398492
protein,68,deff,0.02829464419299611
protein,68,tf_topology,0.18546365914786966
protein,68,source_r2,0.014571097193313695
protein,69,abundance,0.05269914628666794
protein,69,prevalence,0.2585531805635791
protein,69,distance,0.3303030303030303
protein,69,dispersion,0.2606516290726817
protein,69,omega2,1.3139008713313587
protein,69,deff,0.07043700358074384
protein,69,tf_topology,0.324855887905829
protein,69,source_r2,0.026755868211255668
protein,70,abundance,0.02111817189806786
protein,70,prevalence,0.23666474099749668
protein,70,distance,0.3219753086419753
protein,70,dispersion,0.3458646616541353
protein,70,omega2,0.4024477533057869
protein,70,deff,0.27308722988293443
protein,70,tf_topology,0.28422419642735797
protein,70,source_r2,0.011734642591905604
protein,71,abundance,0.2507221259387637
protein,71,prevalence,0.25065793696642913
protein,71,distance,0.3001234567901235
protein,71,dispersion,0.47117794486215536
protein,71,omega2,0.9927444393032544
protein,71,deff,0.030114176022641933
protein,71,tf_topology,0.6724826584164523
protein,71,source_r2,0.0346392797408462
protein,72,abundance,0.11188137877912574
protein,72,prevalence,0.1349894088195649
protein,72,distance,0.20909090909090908
protein,72,dispersion,0.21052631578947367
protein,72,omega2,0.17194265181542126
protein,72,deff,0.08354209631210296
protein,72,tf_topology,0.37429741563884383
protein,72,source_r2,0.015635985426143605
protein,73,abundance,0.17536427241799857
protein,73,prevalence,0.15597920277296362
protein,73,distance,0.25728395061728393
protein,73,dispersion,0.42105263157894735
protein,73,omega2,0.6611582899490006
protein,73,deff,0.49124400018698905
protein,73,tf_topology,0.2919113465117964
