modality,split,metric,value
protein,74,source_r2,0.024958358607571667
protein,75,abundance,0.18662725512180206
protein,75,prevalence,0.46315360309856285
protein,75,distance,0.28414351851851855
protein,75,dispersion,0.6470588235294118
protein,75,omega2,39.86313713864835
protein,75,deff,0.46240083838369017
protein,75,tf_topology,0.30030959752321984
protein,75,source_r2,0.012108964347319515
protein,76,abundance,0.16899398634186116
protein,76,prevalence,0.45499949036795434
protein,76,distance,0.1888503086419753
protein,76,dispersion,0.30340557275541796
protein,76,omega2,2.01706167713306
protein,76,deff,0.34425141431290984
protein,76,tf_topology,0.3065015479876161
protein,76,source_r2,0.015657374760965747
protein,77,abundance,0.025481602283151564
protein,77,prevalence,0.3369687085923963
protein,77,distance,0.16107253086419754
protein,77,dispersion,0.2476780185758514
protein,77,omega2,3.6561051223228107
protein,77,deff,0.05667160681163323
protein,77,tf_topology,0.17337461300309598
protein,77,source_r2,0.015519898934153346
protein,78,abundance,0.09846091122209764
protein,78,prevalence,0.4227907450820508
protein,78,distance,0.19714506172839505
protein,78,dispersion,0.33746130030959753
protein,78,omega2,2.233242940280464
protein,78,deff,0.22134839127552375
protein,78,tf_topology,0.3653250773993808
protein,78,source_r2,0.016323044630123764
protein,79,abundance,0.06553868107226582
protein,79,prevalence,0.4275812863112832
protein,79,distance,0.2586805555555556
protein,79,dispersion,0.29411764705882354
protein,79,omega2,2.333570268138879
protein,79,deff,0.32349723668569985
protein,79,tf_topology,0.663962728857866
protein,79,source_r2,0.0649914801080712
protein,80,abundance,0.10508612781571705
protein,80,prevalence,0.33819182550198756
protein,80,distance,0.23842592592592593
protein,80,dispersion,0.25077399380804954
protein,80,omega2,36.61409909526175
protein,80,deff,0.2109637336133013
protein,80,tf_topology,0.2878984566149672
protein,80,source_r2,0.025049080062826825
protein,81,abundance,0.21883600040770565
protein,81,prevalence,0.49087758638263174
protein,81,distance,0.14660493827160495
protein,81,dispersion,0.25696594427244585
protein,81,omega2,0.0019904239203109306
protein,81,deff,0.2892046071437407
protein,81,tf_topology,0.4107256746600369
protein,81,source_r2,0.018673282993488083
protein,82,abundance,0.028131688920599328
protein,82,prevalence,0.3109774742635817
protein,82,distance,0.2013888888888889
protein,82,dispersion,0.1609907120743034
protein,82,omega2,1.6844976656796689
protein,82,deff,0.5201023999321168
protein,82,tf_topology,0.19504643962848298
protein,82,source_r2,0.017382237718956153
protein,83,abundance,0.22576699622872287
protein,83,prevalence,0.2231169095912751
protein,83,distance,0.1417824074074074
protein,83,dispersion,0.33746130030959753
