modality,kind,distance
protein,within_syn,1.66353805581353
protein,within_syn,1.7361500336821933
protein,within_syn,1.7480462345427104
protein,within_syn,1.1873750925500697
protein,within_syn,1.5224788011699888
protein,within_syn,1.0849993974329502
protein,within_syn,1.570216428127116
protein,within_syn,1.1421320516473055
protein,within_syn,1.7374745577023005
protein,within_syn,0.7584041950495742
protein,within_syn,0.38352920063019197
protein,within_syn,1.570216428127116
protein,within_syn,1.5224788011699888
protein,within_syn,1.7361500336821933
protein,within_syn,0.4440950356058336
protein,within_syn,0.7584041950495742
protein,within_syn,1.806292822990131
protein,within_syn,1.66353805581353
protein,within_syn,1.1421320516473055
protein,within_syn,1.0883645438315843
protein,within_syn,0.4939949120879065
protein,within_syn,0.38352920063019197
protein,within_syn,1.7374745577023005
protein,within_syn,1.1873750925500697
protein,within_syn,0.6220414157338853
protein,within_syn,1.0849993974329502
protein,within_syn,1.689757800567123
protein,within_syn,1.3483966769327413
protein,within_syn,1.7480462345427104
protein,within_syn,0.0
protein,within_syn,1.7361500336821933
protein,within_syn,1.0883645438315843
protein,within_syn,0.6220414157338853
protein,within_syn,1.0849993974329502
protein,within_syn,1.570216428127116
protein,within_syn,1.5224788011699888
protein,within_syn,1.806292822990131
protein,within_syn,0.4939949120879065
protein,within_syn,0.0
protein,within_syn,1.7480462345427104
protein,within_syn,0.4440950356058336
protein,within_syn,1.689757800567123
protein,within_syn,1.7374745577023005
protein,within_syn,0.7584041950495742
protein,within_syn,1.3483966769327413
protein,within_syn,1.66353805581353
protein,within_syn,0.38352920063019197
protein,within_syn,1.1873750925500697
protein,within_syn,1.1421320516473055
protein,within_syn,1.66353805581353
protein,within_syn,0.7584041950495742
protein,within_syn,0.38352920063019197
protein,within_syn,1.7739090425160955
protein,within_syn,1.8003340031796675
protein,within_syn,1.8387361666125799
protein,within_syn,1.2098974217625724
protein,within_syn,1.6154398549947466
protein,within_syn,0.9850405291870482
protein,within_syn,1.6574489695034773
protein,within_syn,1.2169885113463472
protein,within_syn,1.816807182890721
protein,within_syn,0.8753958138349963
protein,within_syn,0.6244640410034783
protein,within_syn,1.6574489695034773
protein,within_syn,1.6154398549947466
protein,within_syn,1.8003340031796675
protein,within_syn,0.5971082124431566
protein,within_syn,0.8753958138349963
protein,within_syn,1.885313769027583
protein,within_syn,1.7739090425160955
protein,within_syn,1.2169885113463472
protein,within_syn,1.2356575772075382
protein,within_syn,0.7021059090676132
protein,within_syn,0.6244640410034783
protein,within_syn,1.816807182890721
protein,within_syn,1.2098974217625724
protein,within_syn,0.0
protein,within_syn,0.9850405291870482
protein,within_syn,1.7931234557711129
protein,within_syn,1.2214215825160188
protein,within_syn,1.8387361666125799
protein,within_syn,0.6220414157338853
protein,within_syn,1.8003340031796675
protein,within_syn,1.2356575772075382
protein,within_syn,0.0
protein,within_syn,0.9850405291870482
protein,within_syn,1.6574489695034773
protein,within_syn,1.6154398549947466
protein,within_syn,1.885313769027583
protein,within_syn,0.7021059090676132
protein,within_syn,0.6220414157338853
protein,within_syn,1.8387361666125799
protein,within_syn,0.5971082124431566
protein,within_syn,1.7931234557711129
protein,within_syn,1.816807182890721
protein,within_syn,0.8753958138349963
protein,within_syn,1.2214215825160188
protein,within_syn,1.7739090425160955
protein,within_syn,0.6244640410034783
protein,within_syn,1.2098974217625724
protein,within_syn,1.2169885113463472
protein,within_syn,1.7739090425160955
protein,within_syn,0.8753958138349963
protein,within_syn,0.6244640410034783
protein,within_syn,1.2639456004141305
protein,within_syn,1.1502128914412295
protein,within_syn,1.7492924407143005
protein,within_syn,1.1386137384996566
protein,within_syn,1.7350103188542922
protein,within_syn,1.2747291129619653
protein,within_syn,1.5988699310832792
